field_name,field_type,field_length,field_alias,nullability,field_domain
identity,Integer,4,Standard Identity,NULLABLE,Identity
context,SmallInteger,2,Context,NULLABLE,Context
symbolset,SmallInteger,2,Symbol Set,NON_NULLABLE,
entity,Integer,4,Activities Symbol,NON_NULLABLE,Activities_Entities
modifier1,Integer,4,Modifier 1,NULLABLE,Activities_Modifier_Ones
echelon,Integer,4,Echelon,NULLABLE,Echelons
indicator,Integer,4,"HQ, Task Force, Feint/Dummy",NULLABLE,HQTFFD
uniquedesignation,String,30,Unique Designation,NULLABLE,
additionalinformation,String,50,Additional Information,NULLABLE,
staffcomment,String,50,Staff Comments,NULLABLE,
reinforced,SmallInteger,2,Reinforced or Reduced,NULLABLE,Reinforced
combateffectiveness,String,3,Combat Effectiveness,NULLABLE,CombatEffectiveness
credibility,SmallInteger,2,Credibility,NULLABLE,Credibility
reliability,String,2,Reliability,NULLABLE,Reliability
idmode,String,15,IFF/SIF/AIS,NULLABLE,
quantity,SmallInteger,2,Quantity,NULLABLE,
x,Double,8,X Location,NULLABLE,
y,Double,8,Y Location,NULLABLE,
z,Double,8,Altitude or Depth,NULLABLE,
size,SmallInteger,2,Symbol Size,NULLABLE,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,
countrycode,String,3,Country Code,NULLABLE,
datetimevalid,Date,8,Date Time Valid,NULLABLE,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,
createdby,String,50,Created By,NULLABLE,
createdtime,Date,8,Created Time,NULLABLE,
editedby,String,50,Edited By,NULLABLE,
editedtime,Date,8,Edited Time,NULLABLE,
